sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.246056;-4.32685e-07;-2.48061e-07;1.84624e-07
-0.24713;-4.3181e-07;-2.47842e-07;1.83967e-07
-0.24820499999999998;-4.32029e-07;-2.48061e-07;1.83967e-07
-0.249279;-4.3181e-07;-2.48061e-07;1.8374899999999999e-07
-0.25035399999999997;-4.30716e-07;-2.48061e-07;1.82655e-07
-0.251428;-4.30279e-07;-2.4828e-07;1.81999e-07
-0.252503;-4.29841e-07;-2.48061e-07;1.8178e-07
-0.253577;-4.2940399999999997e-07;-2.4828e-07;1.81124e-07
-0.254652;-4.2874799999999997e-07;-2.4828e-07;1.80467e-07
-0.255726;-4.2874799999999997e-07;-2.49155e-07;1.7959199999999998e-07
-0.2568;-4.28529e-07;-2.49373e-07;1.79155e-07
-0.25787499999999997;-4.28966e-07;-2.50248e-07;1.78717e-07
-0.258949;-4.28091e-07;-2.50248e-07;1.7784199999999999e-07
-0.260024;-4.27873e-07;-2.50905e-07;1.76967e-07
-0.261098;-4.27216e-07;-2.5068599999999997e-07;1.7653e-07
-0.262173;-4.27216e-07;-2.5068599999999997e-07;1.7653e-07
-0.263247;-4.27654e-07;-2.50905e-07;1.76749e-07
-0.264322;-4.27873e-07;-2.51123e-07;1.76749e-07
-0.26539599999999997;-4.27654e-07;-2.50905e-07;1.76749e-07
-0.266471;-4.28091e-07;-2.51123e-07;1.76967e-07
-0.267545;-4.27654e-07;-2.5068599999999997e-07;1.76967e-07
-0.26861999999999997;-4.27654e-07;-2.50467e-07;1.77186e-07
-0.269694;-4.28091e-07;-2.50248e-07;1.7784199999999999e-07
-0.270769;-4.27654e-07;-2.5002999999999997e-07;1.77624e-07
-0.271843;-4.27435e-07;-2.49811e-07;1.77624e-07
-0.272918;-4.27216e-07;-2.49592e-07;1.77624e-07
-0.273992;-4.27216e-07;-2.49592e-07;1.77624e-07
-0.275067;-4.2656e-07;-2.49373e-07;1.77186e-07
-0.27614099999999997;-4.2634099999999997e-07;-2.49155e-07;1.77186e-07
-0.27721599999999996;-4.2590399999999997e-07;-2.49155e-07;1.76749e-07
-0.27829;-4.26123e-07;-2.49373e-07;1.76749e-07
-0.279365;-4.2590399999999997e-07;-2.49811e-07;1.7609199999999999e-07
-0.280439;-4.25685e-07;-2.49811e-07;1.75874e-07
-0.281514;-4.25029e-07;-2.49811e-07;1.75217e-07
-0.282588;-4.24373e-07;-2.49592e-07;1.7478e-07
-0.283663;-4.24373e-07;-2.49811e-07;1.74561e-07
-0.28473699999999996;-4.23935e-07;-2.5002999999999997e-07;1.73905e-07
-0.285811;-4.23498e-07;-2.49811e-07;1.7368599999999998e-07
-0.286886;-4.2284099999999997e-07;-2.49592e-07;1.73249e-07
-0.28796;-4.22623e-07;-2.5002999999999997e-07;1.72592e-07
-0.289035;-4.2174799999999997e-07;-2.49592e-07;1.72155e-07
-0.290109;-4.21966e-07;-2.5002999999999997e-07;1.7193599999999999e-07
-0.291184;-4.21966e-07;-2.50248e-07;1.71717e-07
-0.29225799999999996;-4.2131e-07;-2.5002999999999997e-07;1.7128e-07
-0.293333;-4.2131e-07;-2.50467e-07;1.70842e-07
-0.294407;-4.21091e-07;-2.5068599999999997e-07;1.70405e-07
-0.29548199999999997;-4.20873e-07;-2.50248e-07;1.70624e-07
-0.296556;-4.21091e-07;-2.50467e-07;1.70624e-07
-0.297631;-4.21529e-07;-2.50467e-07;1.71061e-07
-0.298705;-4.2131e-07;-2.5002999999999997e-07;1.7128e-07
